Name,Type,Rating,Review Count,Address,Latitude,Longitude,Cluster
Swarovski,jewelry_store,4.6,42,"Unit SU49, 27 Old Market Place, Warrington",53.3906356,-2.5962111,0
Claire's,jewelry_store,3.8,103,"Unit 83 Golden Square, Warrington",53.3901223,-2.5942108,0
Warren James Jewellers - Warrington,jewelry_store,4.4,47,"SU 33A, Horsemarket Street, Warrington",53.3893947,-2.5965094,0
Warrington Gold & Diamond Centre,jewelry_store,3.9,19,"Bank Quay, 4 Hatters Row, Horsemarket Street, Warrington",53.3904311,-2.5935776,0
Pandora,jewelry_store,4.5,231,"71, The Mall, Shopping Centre, Golden Square, Warrington",53.39005599999999,-2.5951515,0
Celtic Bagpipe Silver,jewelry_store,,0,"7 Birch Grove, Warrington",53.3800287,-2.575596500000001,1
Beaverbrooks,jewelry_store,4.6,110,"73, The Mall, Golden Square, Warrington",53.39024699999999,-2.595536,0
H. Samuel,jewelry_store,4.8,150,"64, The Mall, Golden Square, Warrington",53.3898056,-2.5959024,0
Chisholm Hunter,jewelry_store,4.9,72,"Unit 10 Golden Square, Warrington",53.3895737,-2.5953848,0
Goldsmiths,jewelry_store,4.6,85,"Unit SU13, The Mall, Golden Square, Warrington",53.39005599999999,-2.5951515,0
Cheshire Gold Xchange,jewelry_store,5.0,81,"3 London Road, Stockton Heath, Warrington",53.37284369999999,-2.581863499999999,1
Christopher Evans Goldsmiths,jewelry_store,4.9,27,"39 London Road, Warrington",53.3719805,-2.581379499999999,1
T H Baker,jewelry_store,5.0,196,"71 & 72, The Mall, Shopping Centre, Golden Square, Warrington",53.38977370000001,-2.595865,0
H&T Pawnbrokers,jewelry_store,3.9,7,"Unit 47, 61, The Mall, Shopping Centre, Midland Way, Golden Square, Warrington",53.39042799999999,-2.5947185,0
Ramsdens - The Mall - Warrington,jewelry_store,4.5,2,"45 The Mall, Warrington",53.39042739999999,-2.594700599999999,0
PJ's Jewellers Ltd,jewelry_store,4.7,40,"Unit 3, Market, 2 Time Square, Warrington",53.38827329999999,-2.5929262,0
The Fox Studios,jewelry_store,5.0,46,"Evans House, Norman Street, Warrington",53.3952037,-2.5909725,4
Argos Warrington (Inside Sainsbury's),jewelry_store,2.4,23,"100 Church Street, Warrington",53.3916976,-2.5827725,3
Ojewellery Ltd,jewelry_store,5.0,1,"29 Riverside Close, Warrington",53.387199,-2.579924,3
Silverwood jewellery - handcrafted statement jewellery,jewelry_store,5.0,3,"6 Fairfield Road, Warrington",53.372986,-2.5814307,1
Villaggio Hotel,lodging,4.1,405,"5-9 Folly Lane, Warrington",53.3987459,-2.6055192,2
Patten Arms Hotel,lodging,3.5,263,"Parker Street, Warrington",53.38625279999999,-2.6022906,0
Village Hotel Warrington,lodging,4.1,1961,"110 Centre Park Square, Warrington",53.38299019999999,-2.5950576,0
The Kings Head,lodging,4.4,598,"40 Winwick Street, Warrington",53.3924602,-2.593712,0
"Waterside Hotel, Warrington",lodging,3.9,600,"1430 Park Boulevard, Centre Park Square, Warrington",53.3845249,-2.5947679,0
The Gulliver's Hotel,lodging,4.0,644,"Old Hall, Shackleton Close, Warrington",53.4044552,-2.6184251,2
Grand Central Serviced Apartments ebutler,lodging,3.9,16,"Scott Court, Central Way, Warrington",53.39275,-2.5915374,0
Bold St Serviced Apartments ebutler,lodging,,0,"25 Bold Street, Cheshire, Warrington",53.386591,-2.595455,0
Victoria Lodge,lodging,4.1,44,"5 Victoria Road, Stockton Heath, Warrington",53.370997,-2.580309,1
Travelodge Warrington,lodging,3.9,629,"Kendrick Street, Legh Street, Warrington",53.39128029999999,-2.598554399999999,0
Tickabox Solutions Limited,lodging,5.0,1,"Sedgewick Court, Grand Central, 25 Central Way, Warrington",53.3931051,-2.5895077,0
Coast & Country Hotel Collection,lodging,3.0,7,"210 Centre Park Square, Cygnet Court, Warrington",53.3821111,-2.5960905,0
Premier Inn Warrington Central North hotel,lodging,4.2,555,"Floyd Drive, Warrington",53.406099,-2.5924355,4
Howley Hotel,lodging,4.4,150,"46 Parr Street, Warrington",53.3873455,-2.5840756,0
Laburnum Guest House,lodging,4.5,24,"106-112 Wilderspool Causeway, Warrington",53.3815609,-2.5905649,0
The Salvation Army James Lee House Lifehouse,lodging,4.2,17,"James Lee House, Brick Street James Lee House Lifehouse, Brick Street, Warrington",53.39148549999999,-2.5862231,0
Golden Square Place,lodging,5.0,2,"9 Bath Street, Warrington",53.3901103,-2.5984908,0
Desire Homes UK,lodging,,0,"Bath Street, Warrington",53.38996609999999,-2.5987198,0
The Old Post Office by Deuce Hotels,lodging,4.7,97,"6 Springfield Street, Warrington",53.38802949999999,-2.598236,0
The Parr's Bank Hotel,lodging,4.8,89,"Parr's Bank Hotel, 7 Winwick Street, Warrington",53.3910898,-2.5932151,0
IMG SEAT Warrington,car_dealer,4.5,217,"147 Bewsey Road, Warrington",53.397614,-2.6069276,2
Halliwell Jones Warrington BMW,car_dealer,3.9,735,"Winwick Road, Warrington",53.4013868,-2.5935416,4
Rix Motor Company,car_dealer,4.1,839,"Hawleys Lane, Warrington",53.407563,-2.5965088,4
Chester Road Motors,car_dealer,4.2,17,"1A Chester Road, Warrington",53.38379219999999,-2.5923198,0
Warrington Mazda,car_dealer,4.2,247,"147 Bewsey Road, Warrington",53.3979837,-2.607308999999999,2
Northern Caravans Ltd,car_dealer,4.6,173,"60 Longford Street, Warrington",53.399849,-2.5920868,4
Holdcroft Honda Warrington,car_dealer,4.4,601,"Guardian Street, Warrington",53.3915562,-2.6068099,2
T R Car Sales,car_dealer,4.8,54,"478 Knutsford Road, Warrington",53.3820954,-2.5736311,3
New Car Discount,car_dealer,4.6,20,"8 Eagle Park Drive, Warrington",53.4067811,-2.5996596,4
Select Motor Trading Limited,car_dealer,4.6,27,"Owen Street, Warrington",53.3979843,-2.595498,4
I.M.G.Select,car_dealer,4.5,43,"Bewsey Road, Warrington",53.3976666,-2.6068904,2
Chapelhouse Suzuki Warrington,car_dealer,4.7,493,"23 Folly Lane, Warrington",53.398971,-2.604446599999999,2
MA Car Group,car_dealer,2.7,27,"4 Holmesfield Road, Warrington",53.3913314,-2.5743383,3
Auto Union Finance,car_dealer,4.8,481,"Auto Union House, 8 Eagle Park Drive, Warrington",53.407806,-2.600471999999999,4
Green Apple Leasing,car_dealer,1.0,1,"7 Padgate Lane, Padgate, Warrington",53.3975303,-2.5731405,3
Used Cars in Warrington,car_dealer,4.4,29,"23 Padgate Lane, Warrington",53.3976741,-2.5730805,3
Accept Car Finance,car_dealer,4.4,449,"Hawleys Lane, Warrington",53.4062701,-2.5965653,4
Used Coach Sales,car_dealer,4.4,9,"60 The Old Quays, Warrington",53.38170149999999,-2.5674406,3
Route 57 - WAV vehicles,car_dealer,4.4,26,"11-13 Kingsway North, Warrington",53.3960553,-2.5665712,3
Cantilever Car Centre Ltd,car_dealer,4.2,292,"Station Road, Warrington",53.37884989999999,-2.5609679,3
Halfords - Warrington,bicycle_store,4.3,828,"Unit 1A Vernon Street, Warrington",53.38654380000001,-2.5866714,0
Decathlon,bicycle_store,4.4,683,"Jubilee Way, Warrington",53.40516220000001,-2.5927708,4
Sports Direct,bicycle_store,3.5,149,"Unit 2 Riverside Park, Warrington",53.386342,-2.585513999999999,0
GO Outdoors,bicycle_store,4.0,461,"Wilson Patten Street, Warrington",53.385913,-2.597306,0
Cyclehouse Warrington,bicycle_store,4.9,224,"Unit 1 Portland Trade Park, Buckley Street, Warrington",53.3941171,-2.5961606,0
Cash Generator Warrington | The Buy and Sell Store,bicycle_store,3.4,23,"83 The Mall Golden Square Shopping Centre, Warrington",53.39023530000001,-2.5941219,0
Sorted Racegear Bike,bicycle_store,4.2,36,"Milner Street, Warrington",53.3903229,-2.6064503,2
Ron Spencer Cycles,bicycle_store,4.9,101,"20-24 Crossley Street, Warrington",53.39185870000001,-2.5857063,0
DRB Car Spares & Accessories,bicycle_store,4.7,117,"25 Orford Green, Warrington",53.40683780000001,-2.5774108,3
Cash Converters,bicycle_store,3.4,37,"41 Buttermarket Street, Warrington",53.3897413,-2.5918966,0
D & M Cycles,bicycle_store,4.6,68,"2-4 Hood Lane, Great Sankey, Warrington",53.38468140000001,-2.626297300000001,2
Warrington Cycle Hub,bicycle_store,5.0,30,"unit 5 Crown Street, Warrington",53.3917297,-2.592413000000001,0
Smyths Toys Superstores Warrington,bicycle_store,4.0,44,"Unit 2a, JunctionNINE Retail Park, Warrington",53.4094466,-2.5979722,4
Villaggio Hotel,restaurant,4.1,405,"5-9 Folly Lane, Warrington",53.3987459,-2.6055192,2
The Friar Penketh,restaurant,4.1,1727,"4 Barbauld Street, Friars Gate, Warrington",53.387163,-2.593436000000001,0
Antons Pizza,restaurant,4.1,137,"3 Longford Street, Warrington",53.400071,-2.592384,4
Piccolino Stockton Heath,restaurant,4.4,807,"6, Victoria Square, London Road, Stockton Heath, Warrington",53.37035909999999,-2.5808011,1
Domino's Pizza - Stockton Heath,restaurant,3.4,126,"93 London Road, Stockton Heath, Warrington",53.3701267,-2.580580099999999,1
East Orient,restaurant,4.1,1838,"54 Horsemarket Street, Warrington",53.390609,-2.592998,0
"Ego Mediterranean Restaurant & Bar, Stockton Heath",restaurant,4.5,1416,"25 Walton Road, Warrington",53.3703735,-2.581573,1
Subway,restaurant,4.1,396,"Safety Housekerfoot Street, Warrington",53.3999683,-2.5966532,4
Italian Express,restaurant,3.8,122,"28 London Road, Stockton Heath, Warrington",53.3717683,-2.5817465,1
Neighbours,restaurant,4.4,108,"10 Martin Avenue, Orford, Warrington",53.4083655,-2.5720785,3
Subway,restaurant,4.0,209,"53 Kingsway South, Latchford, Warrington",53.3816879,-2.5600353,3
Turkish Delight,restaurant,4.3,202,"80 Mersey Street, Warrington",53.388527,-2.588541,0
River Queen,restaurant,3.5,53,"143 Lovely Lane, Warrington",53.39393190000001,-2.612456,2
Fresh Sandwich Company,restaurant,4.2,49,"36 Parker Street, Warrington",53.38745580000001,-2.6021932,0
The Rose Delight,restaurant,3.6,74,"183 Orford Lane, Warrington",53.39888329999999,-2.5858956,4
.,restaurant,4.3,148,"141 Old Liverpool Road, Warrington",53.38598169999999,-2.6136011,2
Chilli Masala,restaurant,4.1,72,"139 Orford Lane, Orford, Warrington",53.3980324,-2.5875294,4
Waterfields,restaurant,3.2,6,"13 Buttermarket Street, Warrington",53.3895359,-2.5925664,0
Mr Lau's,restaurant,4.4,1147,"2 Springfield Street, Warrington",53.3884605,-2.5982657,0
Waterfields,restaurant,2.8,12,"39 Sankey Street, Warrington",53.3887895,-2.5959982,0
H&M,clothing_store,4.2,163,"57 Midland Way, Warrington",53.39105300000001,-2.5957656,0
Asda Warrington Superstore,clothing_store,3.8,266,"Tilley Street, Warrington",53.39145540000001,-2.5902327,0
Decathlon,clothing_store,4.4,683,"Jubilee Way, Warrington",53.40516220000001,-2.5927708,4
Sports Direct,clothing_store,3.5,149,"Unit 2 Riverside Park, Warrington",53.386342,-2.585513999999999,0
GO Outdoors,clothing_store,4.0,461,"Wilson Patten Street, Warrington",53.385913,-2.597306,0
Warrington Wolves,clothing_store,4.5,511,"The Halliwell Jones Stadium, Mike Gregory Way, Warrington",53.3954607,-2.5958352,4
River Island,clothing_store,4.1,214,"SU01, Midland Way, Warrington",53.3910195,-2.5968067,0
New Look,clothing_store,4.1,595,"Unit SU4, The Mall, Warrington",53.3910421,-2.5961934,0
Monsoon & Accessorize,clothing_store,4.2,130,"24 Sankey Street, Warrington",53.390165,-2.59647,0
Liberty in Love,clothing_store,5.0,6,"Suite 3, 720 Mandarin Court, Warrington",53.37985459999999,-2.599172599999999,0
The Fragrance Shop,clothing_store,4.4,80,"The Mall, Unit SU9A 75, Cheshire, Warrington",53.390305,-2.595423100000001,0
Touchline UK,clothing_store,3.5,58,"Liverpool Road, Warrington",53.38906830000001,-2.6077081,2
Dolly Daydream Ltd,clothing_store,4.7,39,"Unit 5, The Courtyard, Horsemarket Street, Cheshire, Warrington",53.38997309999999,-2.5931352,0
Johnstone's Decorating Centre,clothing_store,4.6,39,"98-102 Buttermarket Street, Warrington",53.3897353,-2.5881023,0
Warrington Schoolwear Centre (alphaschoolwear.com),clothing_store,3.7,22,"50-54 Buttermarket Street, Warrington",53.38955509999999,-2.591258,0
Wife to Be,clothing_store,4.4,71,"3-5, Fennel Street, 3-5 Fennel Street, Cheshire, Warrington",53.3901873,-2.5861797,0
The Perfume Shop Warrington,clothing_store,4.2,92,"Unit K7, 9, The Mall, Shopping Centre, Golden Square, Warrington",53.38927960000001,-2.5957512,0
Trespass,clothing_store,4.4,48,"Unit 66, The Mall, Shopping Centre, Golden Square, Warrington",53.3897258,-2.5958201,0
Spektrum Apparel,clothing_store,4.8,52,"90 The Mall Golden Square Shopping Centre, Warrington",53.3901958,-2.5954028,0
Foot Locker,clothing_store,4.1,119,"SC, Golden Square, 38 Midland Way, Warrington",53.390263,-2.595528,0
Village Hotel Warrington,spa,4.1,1961,"110 Centre Park Square, Warrington",53.38299019999999,-2.5950576,0
Heidi-Jo's Beauty Therapy,spa,4.3,26,"25a Rylands Street, Warrington",53.38788940000001,-2.594391700000001,0
JD Aesthetics Ltd,spa,4.9,15,"51 Winmarleigh Street, Warrington",53.3864051,-2.5991942,0
Baan Bussabaa,spa,4.8,189,"Unit 2, 1 Green Street, Warrington",53.3889787,-2.6080709,2
Village Gym Warrington,spa,4.4,248,"110 Centre Park Square, Warrington",53.3831244,-2.5951235,0
"Kathryn Elizabeth Hair, Beauty & Training",spa,5.0,55,"15 Padgate Lane, Warrington",53.397552,-2.573221,3
LAHatton Aesthetics,spa,4.3,14,"Ragan House, 674 Knutsford Road, Warrington",53.3811677,-2.5660276,3
SkinGenius Clinic | Laser | Skin | Aesthetics,spa,5.0,275,"4 Dundonald Avenue, Stockton Heath, Warrington",53.369848,-2.582207099999999,1
The Holistic Palm,spa,5.0,1,"Unit 12, Inside Bliss Store, The Mall, Golden Square, Warrington",53.3897575,-2.5960053,0
LB Cosmetics,spa,5.0,2,"Unit 18, Hatters Row, Shopping Arcade, Warrington",53.3903831,-2.5936889,0
Silky Skin,spa,5.0,24,"23 Cairo Street, Warrington",53.3878377,-2.5949576,0
